ID,Player,Position,Games Dressed,Salary,TOI,paTOI/G
1,AARON DELL,G,2,575000,,
2,AARON EKBLAD,D,78,925000,1690.81666667,16.2578525641
3,AARON NESS,D,8,575000,99.1,9.290625
4,ADAM CLENDENING,D,29,761250,429.083333333,11.0969827586
5,ADAM CRACKNELL,R,52,575000,636.016666667,12.2310897436
6,ADAM HENRIQUE,C,80,4000000,1586.11666667,19.8264583334
7,ADAM LARSSON,D,82,2500000,1845.78333333,16.8821646341
8,ADAM LOWRY,L,74,925000,1037.36666667,14.0184684685
9,ADAM MCQUAID,D,64,3000000,1154.56666667,13.530078125
10,ADAM PARDY,D,23,1000000,365.333333333,11.9130434782
11,ADAM PELECH,D,9,845500,158.216666667,13.1847222222
12,AL MONTOYA,G,80,1100000,,
13,ALAN QUINE,C,2,620000,35.5166666667,17.7583333333
14,ALEC MARTINEZ,D,78,3900000,1649.75,15.8629807692
15,ALEKSANDER BARKOV,C,66,925000,1282.38333333,19.430050505
16,ALES HEMSKY,R,75,4000000,982.816666667,13.1042222222
17,ALEX BIEGA,D,51,600000,854.933333333,12.5725490196
18,ALEX CHIASSON,R,77,1200000,1050.08333333,13.6374458874
19,ALEX FRIESEN,C,1,575000,11.7166666667,11.7166666667
20,ALEX GALCHENYUK,C,82,2500000,1333.26666667,16.2593495935
21,ALEX GOLIGOSKI,D,82,4800000,1954.36666667,17.8753048781
22,ALEX GRANT,D,5,600000,66.1666666667,9.925
23,ALEX KHOKHLACHEV,C,5,775000,51.2666666667,10.2533333333
24,ALEX KILLORN,C,81,2700000,1360.41666667,16.7952674898
25,ALEX OVECHKIN,L,79,10000000,1604.36666667,20.3084388186
26,ALEX PETROVIC,D,66,900000,1119.06666667,12.7166666667
27,ALEX PIETRANGELO,D,73,6500000,1920.25,19.7285958904
28,ALEX STALOCK,G,60,1700000,,
29,ALEX TANGUAY,L,70,3500000,1105.33333333,15.7904761904
30,ALEXANDER BURMISTROV,C,81,1500000,1309.98333333,16.1726337448
31,ALEXANDER EDLER,D,52,6000000,1271.53333333,18.3394230769
32,ALEXANDER SEMIN,R,15,7000000,185.033333333,12.3355555555
33,ALEXANDER STEEN,L,67,5800000,1364.86666667,20.3711442787
34,ALEXANDER WENNBERG,C,69,925000,1094.38333333,15.8606280193
35,ALEXANDRE BURROWS,L,79,4000000,1198.41666667,15.1698312237
36,ALEXANDRE GRENIER,R,6,585000,68.85,11.475
37,ALEXEI EMELIN,D,72,3900000,1475.85,15.3734375
38,ALEXEY MARCHENKO,D,66,700000,1110.85,12.6232954545
39,ANDERS LEE,C,80,2000000,1166.11666667,14.5764583334
40,ANDERS LINDBACK,G,55,875000,,
41,ANDERS NILSSON,G,73,1000000,,
42,ANDRE BENOIT,D,2,600000,27.1666666667,10.1875
43,ANDRE BURAKOVSKY,L,79,925000,1028.93333333,13.0244725738
44,ANDREAS ATHANASIOU,C,37,667500,333.65,9.0175675676
45,ANDREAS MARTINSEN,L,55,742500,610.35,11.0972727273
46,ANDREI MARKOV,D,82,6000000,1954.53333333,17.8768292683
47,ANDREI VASILEVSKIY,G,60,925000,,
48,ANDREJ NESTRASIL,C,55,875000,789.3,14.3509090909
49,ANDREJ SEKERA,D,81,6500000,1768.93333333,16.3790123456
50,ANDREJ SUSTR,D,77,1300000,1296.4,12.6272727273
51,ANDREW AGOZZINO,L,9,600000,77.05,8.5611111111
52,ANDREW BODNARCHUK,D,37,650000,456.566666667,9.2547297297
53,ANDREW CAMPBELL,D,6,575000,69.5,8.6875
54,ANDREW COGLIANO,C,82,2900000,1183.4,14.4317073171
55,ANDREW COPP,C,77,925000,616.25,8.0032467533
56,ANDREW DESJARDINS,C,77,800000,1030.41666667,13.3820346321
57,ANDREW FERENCE,D,6,3750000,78.35,9.79375
58,ANDREW HAMMOND,G,65,1200000,,
59,ANDREW LADD,L,78,4500000,1475.31666667,18.9143162394
60,ANDREW MACDONALD,D,28,4500000,563.333333333,15.0892857143
61,ANDREW MILLER,C,6,630000,54.7333333333,9.1222222222
62,ANDREW SHAW,C,78,2500000,1142.78333333,14.651068376
63,ANDREY PEDAN,D,13,792500,142.383333333,8.2144230769
64,ANDY ANDREOFF,C,60,575000,527.583333333,8.7930555556
65,ANDY GREENE,D,82,5000000,1882.08333333,17.2141768292
66,ANTHONY BITETTO,D,28,665500,339.75,9.1004464286
67,ANTHONY DUCLAIR,L,81,742500,1164.73333333,14.3794238683
68,ANTHONY MANTHA,R,10,925000,117,11.7
69,ANTHONY PELUSO,R,35,650000,223.45,6.3842857143
70,ANTHONY STOLARZ,G,16,792500,,
71,ANTOINE BIBEAU,G,11,655000,,
72,ANTOINE ROUSSEL,L,80,1800000,1108.56666667,13.8570833334
73,ANTOINE VERMETTE,C,76,3750000,1264.71666667,16.641008772
74,ANTON FORSBERG,G,15,700000,,
75,ANTON KHUDOBIN,G,35,2500000,,
76,ANTON LANDER,C,61,925000,737.016666667,12.0822404372
77,ANTON SLEPYSHEV,L,11,925000,95.6,8.6909090909
78,ANTON STRALMAN,D,73,4500000,1611.66666667,16.5582191781
79,ANTTI NIEMI,G,82,4500000,,
80,ANTTI RAANTA,G,79,800000,,
81,ANZE KOPITAR,C,81,7700000,1690.2,20.8666666667
82,ARTEM ANISIMOV,C,77,4000000,1392.85,18.088961039
83,ARTEMI PANARIN,C,80,700000,1481.63333333,18.5204166666
84,AUSTIN WATSON,L,57,575000,570.15,10.0026315789
85,BARCLAY GOODROW,C,14,635000,143.783333333,10.2702380952
